char_code,dt,nominal,name,value,num_code
AMD,2018-03-26,100,Армянских драмов,11.8874,051
AUD,2018-03-26,1,Австралийский доллар,44.1039,036
AZN,2018-03-26,1,Азербайджанский манат,33.5431,944
BGN,2018-03-26,1,Болгарский лев,36.0048,975
BRL,2018-03-26,1,Бразильский реал,17.2243,986
BYN,2018-03-26,1,Белорусский рубль,29.3384,933
CAD,2018-03-26,1,Канадский доллар,44.2589,124
CHF,2018-03-26,1,Швейцарский франк,60.3224,756
CNY,2018-03-26,10,Китайских юаней,90.3009,156
CZK,2018-03-26,10,Чешских крон,27.7004,203
DKK,2018-03-26,10,Датских крон,94.5546,208
EUR,2018-03-26,1,Евро,70.4303,978
GBP,2018-03-26,1,Фунт стерлингов Соединенного королевства,80.6068,826
HKD,2018-03-26,10,Гонконгских долларов,72.761,344
HUF,2018-03-26,100,Венгерских форинтов,22.5506,348
INR,2018-03-26,100,Индийских рупий,87.7695,356
JPY,2018-03-26,100,Японских иен,54.38,392
KGS,2018-03-26,100,Киргизских сомов,83.7103,417
KRW,2018-03-26,1000,Вон Республики Корея,52.8954,410
KZT,2018-03-26,100,Казахстанских тенге,17.7987,398
MDL,2018-03-26,10,Молдавских леев,34.485,498
NOK,2018-03-26,10,Норвежских крон,73.5207,578
PLN,2018-03-26,1,Польский злотый,16.697,985
RON,2018-03-26,1,Румынский лей,15.0878,946
SEK,2018-03-26,10,Шведских крон,69.0735,752
SGD,2018-03-26,1,Сингапурский доллар,43.4374,702
TJS,2018-03-26,10,Таджикских сомони,64.6953,972
TMT,2018-03-26,1,Новый туркменский манат,16.3397,934
TRY,2018-03-26,1,Турецкая лира,14.4261,949
UAH,2018-03-26,10,Украинских гривен,21.7324,980
USD,2018-03-26,1,Доллар США,57.1072,840
UZS,2018-03-26,10000,Узбекских сумов,70.1563,860
XDR,2018-03-26,1,СДР (специальные права заимствования),83.0556,960
ZAR,2018-03-26,10,Южноафриканских рэндов,48.4164,710
AMD,2018-03-27,100,Армянских драмов,11.8758,051
AUD,2018-03-27,1,Австралийский доллар,44.1096,036
AZN,2018-03-27,1,Азербайджанский манат,33.4825,944
BGN,2018-03-27,1,Болгарский лев,36.099,975
BRL,2018-03-27,1,Бразильский реал,17.2004,986
BYN,2018-03-27,1,Белорусский рубль,29.2853,933
CAD,2018-03-27,1,Канадский доллар,44.3541,124
CHF,2018-03-27,1,Швейцарский франк,60.1942,756
CNY,2018-03-27,10,Китайских юаней,90.6608,156
CZK,2018-03-27,10,Чешских крон,27.7817,203
DKK,2018-03-27,10,Датских крон,94.7916,208
EUR,2018-03-27,1,Евро,70.5708,978
GBP,2018-03-27,1,Фунт стерлингов Соединенного королевства,80.8657,826
HKD,2018-03-27,10,Гонконгских долларов,72.6359,344
HUF,2018-03-27,100,Венгерских форинтов,22.5825,348
INR,2018-03-27,100,Индийских рупий,87.8808,356
JPY,2018-03-27,100,Японских иен,54.2404,392
KGS,2018-03-27,100,Киргизских сомов,83.7062,417
KRW,2018-03-27,1000,Вон Республики Корея,52.8489,410
KZT,2018-03-27,100,Казахстанских тенге,17.8447,398
MDL,2018-03-27,10,Молдавских леев,34.5478,498
NOK,2018-03-27,10,Норвежских крон,73.9465,578
PLN,2018-03-27,1,Польский злотый,16.6991,985
RON,2018-03-27,1,Румынский лей,15.1477,946
SEK,2018-03-27,10,Шведских крон,69.4737,752
SGD,2018-03-27,1,Сингапурский доллар,43.4779,702
TJS,2018-03-27,10,Таджикских сомони,64.5937,972
TMT,2018-03-27,1,Новый туркменский манат,16.3101,934
TRY,2018-03-27,1,Турецкая лира,14.3576,949
UAH,2018-03-27,10,Украинских гривен,21.6662,980
USD,2018-03-27,1,Доллар США,57.0039,840
UZS,2018-03-27,10000,Узбекских сумов,70.0246,860
XDR,2018-03-27,1,СДР (специальные права заимствования),82.976,960
ZAR,2018-03-27,10,Южноафриканских рэндов,48.9918,710
AMD,2018-03-28,100,Армянских драмов,11.9176,051
AUD,2018-03-28,1,Австралийский доллар,44.196,036
AZN,2018-03-28,1,Азербайджанский манат,33.5828,944
BGN,2018-03-28,1,Болгарский лев,36.3869,975
BRL,2018-03-28,1,Бразильский реал,17.265,986
BYN,2018-03-28,1,Белорусский рубль,29.3655,933
